scenario,time_s,usv_x_m,usv_y_m,heading_deg,speed_mps,yaw_rate_dps,obstacle_x_m,obstacle_y_m,distance_to_obstacle_m,risk,risk_class,command
no_obstacle,11.2,0.0,10.0358,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,11.4,0.0,10.2118,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,11.6,0.0,10.3879,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,11.8,0.0,10.564,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,12.0,0.0,10.74,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,12.2,0.0,10.9161,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,12.4,0.0,11.0922,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,12.6,0.0,11.2682,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,12.8,0.0,11.4443,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,13.0,0.0,11.6204,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,13.2,0.0,11.7964,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,13.4,0.0,11.9725,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,13.6,0.0,12.1486,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,13.8,0.0,12.3246,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,14.0,0.0,12.5007,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,14.2,0.0,12.6768,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,14.4,0.0,12.8528,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,14.6,0.0,13.0289,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,14.8,0.0,13.205,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,15.0,0.0,13.381,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,15.2,0.0,13.5571,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,15.4,0.0,13.7331,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,15.6,0.0,13.9092,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,15.8,0.0,14.0853,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,16.0,0.0,14.2613,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,16.2,0.0,14.4374,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,16.4,0.0,14.6135,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,16.6,0.0,14.7895,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,16.8,0.0,14.9656,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,17.0,0.0,15.1417,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,17.2,0.0,15.3177,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,17.4,0.0,15.4938,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,17.6,0.0,15.6699,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,17.8,0.0,15.8459,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,18.0,0.0,16.022,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,18.2,0.0,16.1981,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,18.4,0.0,16.3741,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,18.6,0.0,16.5502,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,18.8,0.0,16.7263,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,19.0,0.0,16.9023,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,19.2,0.0,17.0784,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,19.4,0.0,17.2545,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,19.6,0.0,17.4305,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,19.8,0.0,17.6066,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
no_obstacle,20.0,0.0,17.7827,0.0,0.8803,0.0,,,,0.1365,LOW,HOLD_COURSE
